gene	logfoldchanges	scores	pvals	pvals_adj	pct_in_group
MT-ND1	0.16625315	11.997222	3.674209586889716e-33	2.0646261439733987e-31	
RALGPS2	0.85014653	11.717428	1.0377429512726095e-31	5.345381763929204e-30	
HLA-DMB	0.73196787	11.672351	1.7647852406722857e-31	8.951570021341352e-30	
AFF3	0.83080405	11.627171	2.9987309655916004e-31	1.4981817732041192e-29	
BLK	0.674996	11.570541	5.811461091214192e-31	2.8289894568384985e-29	
EZR	0.3098567	10.972369	5.189460899698496e-28	2.112261581211123e-26	
HERPUD1	0.43257204	10.965109	5.623304257682245e-28	2.285348682950098e-26	
NIBAN3	0.83586955	10.560406	4.546927171693269e-26	1.630941663919506e-24	
MT-ND4	0.15591753	10.259365	1.0741026621780799e-24	3.473062610466081e-23	
FTL	0.083157055	10.188177	2.239226531964479e-24	7.03503569658202e-23	
MT-CYB	0.13564731	10.071126	7.412447552137402e-24	2.243369396907943e-22	
IRF8	0.66712165	9.834773	7.97473710779368e-23	2.2148436529576618e-21	
ARPC3	0.16842893	9.774334	1.4510804851002747e-22	3.961662183752264e-21	
RPS8	0.064811625	9.219212	2.9929287483912256e-20	7.096258091301552e-19	
OAZ1	0.24768439	8.549643	1.2347032936623533e-17	2.4130278560479184e-16	
EEF2	0.03880169	8.513016	1.6946742920570007e-17	3.256887057742807e-16	
SNX2	0.49146578	8.416579	3.876369454152212e-17	7.240338982565821e-16	
MT-ND6	0.27021667	8.190785	2.5952780732655256e-16	4.487956793059493e-15	
RPS5	0.039592654	8.01176	1.1307830980999002e-15	1.8552520965677313e-14	
SPIB	0.7782698	7.9026303	2.7307822363100204e-15	4.3409964748136385e-14	
CD22	0.8336647	7.6968884	1.3941970296735202e-14	2.1199292249252e-13	
HVCN1	0.81101114	7.6755958	1.6465152692359576e-14	2.487932310461769e-13	
FAU	0.04023361	7.2556243	3.9981292998122e-13	5.443969193632606e-12	
CD19	0.7468901	7.221228	5.152023134080566e-13	6.94399710348516e-12	
ADAM28	0.6578354	7.1651783	7.768547395072638e-13	1.0355076289550434e-11	
PTMA	0.06526287	7.088235	1.3583345268477362e-12	1.7697634014257833e-11	
RPS27	0.021057053	7.0565596	1.7067549939350397e-12	2.2031977165516958e-11	
RPL12	0.040355273	7.0308723	2.0524621684403495e-12	2.6201917375108574e-11	
REL	0.20881362	7.022183	2.1842814016336963e-12	2.7791295056975593e-11	
PDLIM1	0.6412131	6.9171877	4.60697577846838e-12	5.72725955172643e-11	
FCER2	0.7463932	6.8542323	7.169656562807474e-12	8.793830262245493e-11	
LY86	0.687999	6.788333	1.1343676784705137e-11	1.3667433602025287e-10	
CXCR5	0.7638814	6.6853414	2.3038688115185887e-11	2.7239559226580327e-10	
GNG7	0.81463784	6.6068068	3.9269788333704154e-11	4.555431206825649e-10	
SLC25A6	-0.019299312	6.5840697	4.577429799263043e-11	5.285121921573085e-10	
P2RX5	0.71567667	6.554869	5.5690638358771235e-11	6.363720881073863e-10	
SWAP70	0.57225233	6.5207133	6.997387813402517e-11	7.937839124730069e-10	
IGKC	0.62164116	6.1124473	9.811479539609395e-10	1.0080375519260846e-08	
IFNGR2	0.5814885	6.1006174	1.0565942392720079e-09	1.0830396562132933e-08	
RUBCNL	0.7601823	5.68839	1.2824292519813543e-08	1.1810702386837289e-07	
RCSD1	0.31727073	5.5373325	3.071131935052682e-08	2.7272841864939937e-07	
RPL15	0.006263245	5.4124737	6.216004234229316e-08	5.334684421749468e-07	
ARHGAP24	0.66660774	5.4082313	6.36502676697892e-08	5.457291820630088e-07	
TAGLN2	0.0279791	5.0212054	5.134820814333214e-07	4.0176156144881506e-06	
UCP2	0.28374484	4.8979497	9.684183127527995e-07	7.326954265487235e-06	
VPREB3	0.70677745	4.742704	2.1088415095820846e-06	1.53312085566691e-05	
FCRLA	0.6893378	4.701426	2.58351102325983e-06	1.8598900186138413e-05	
RPL23A	-0.0076861824	4.65736	3.202901280913821e-06	2.2884385254142054e-05	
JCHAIN	0.827992	4.6194344	3.847875893265737e-06	2.72945538743288e-05	
CD40	0.5859076	4.563088	5.040667119164288e-06	3.529396505802624e-05	
POU2AF1	0.66821986	4.4500084	8.586687060201562e-06	5.8654730242379164e-05	
CYB561A3	0.5249593	4.442586	8.888419128936947e-06	6.06690529090948e-05	
GRB2	0.14924096	4.439985	8.99653301533232e-06	6.128109969618598e-05	
RPL39	0.008340134	4.412582	1.0214512183045675e-05	6.918744121130759e-05	
PKIG	0.75919664	4.3126025	1.613439783059129e-05	0.00010664913204160305	
PTPN6	0.39212608	4.26599	1.9901800765167823e-05	0.00013022401834992503	
TCF4	0.58005136	4.1206336	3.778315094740529e-05	0.00023967502840837357	
HLA-DQA2	0.69785655	4.1177483	3.825925850331314e-05	0.00024252154346757928	
POLD4	0.29049054	4.0602794	4.9014006999026916e-05	0.00030739577442830026	
DUSP1	0.025583133	4.0157285	5.9262405401856605e-05	0.0003683665746435797	
POU2F2	0.4223379	3.9816668	6.843368261575074e-05	0.00042280308001953486	
BLNK	0.7445548	3.9725947	7.109396652377195e-05	0.0004379563084620504	
CPNE5	0.84576213	3.9458513	7.951693711795586e-05	0.0004868649324252819	
MAP3K8	0.25458905	3.8963346	9.765943887730911e-05	0.0005918126370086637	
LINC01857	0.7327752	3.889545	0.00010043231070904362	0.0006072316620417813	
SYK	0.6037248	3.8285775	0.00012888603385390653	0.0007677413477819322	
RPL41	-0.012083496	3.8226779	0.00013201024704004964	0.0007852955138937958	
PDE4B	0.29746583	3.7792552	0.0001572981597278266	0.0009247573075438849	
FAM30A	0.78721285	3.7474096	0.0001786701335135162	0.001039140804957494	
CALHM6	0.6739662	3.7404277	0.0001837073351529558	0.0010658714824340564	
BTK	0.86537087	3.7027888	0.00021324246200938045	0.001225729108509369	
HLA-DOB	0.7290644	3.6891415	0.00022501204171883942	0.0012872567922610919	
PPIA	-0.063484006	3.678388	0.0002347126512092839	0.001339293163695053	
TNFRSF13B	0.77414036	3.6303103	0.00028308078917880754	0.0015950825303335861	
CD82	0.38130426	3.6224084	0.00029187276417457056	0.0016401027904853936	
CTSH	0.5377066	3.5493808	0.00038613816167854523	0.00213017148178789	
SMIM14	0.6607061	3.512335	0.00044418773529710876	0.002426236296025864	
EEF1G	-0.029485041	3.4880166	0.00048661804048351874	0.0026422514602679153	
FCMR	0.20418137	3.4844112	0.0004932208827759914	0.0026742794457982606	
PNOC	0.748481	3.3805223	0.0007234823586062251	0.0038259923615986584	
MARCH1	0.63029766	3.2815669	0.0010323204009173774	0.005325707285710981	
TPD52	0.52573955	3.2468917	0.0011667275955275997	0.005964695664844791	
NFKBID	0.49871325	3.2047598	0.0013517526489718996	0.006851303138257841	
IGHA1	0.63837236	3.1996996	0.0013757086858168094	0.006960776919917185	
TCL1A	0.76324636	3.196397	0.0013915546826244382	0.007034258636263778	
PAX5	0.6161181	3.1439586	0.0016667906895753315	0.008300848742406358	
ZFAS1	-0.07660769	3.0743196	0.0021098323250230114	0.010350172271463015	
RPS21	-0.002587899	3.0617285	0.002200629129707205	0.010767769079250332	
CCDC50	0.57126635	3.028785	0.002455394583364371	0.011928702729161326	
SYPL1	0.28669015	3.0271938	0.0024683572885341124	0.011985105658010262	
LINC01781	0.82069826	2.9920816	0.0027708210311110553	0.013348858471252625	
CAPG	0.5382026	2.917056	0.0035335220405170314	0.016782966818245565	
RGS2	0.3576968	2.8915572	0.003833377225180998	0.01810364841295056	
LAT2	0.54994285	2.77957	0.005443092352497783	0.025038413228978637	
LSM7	-0.0058848313	2.7782493	0.005465266036924116	0.02512302075326982	
IFI30	0.5552085	2.7623036	0.005739508841910629	0.026315405469922823	
EVI2B	0.12170651	2.7586884	0.005803385116144842	0.026589928116189234	
NOTCH2	0.57852024	2.7340271	0.006256487977830881	0.028508690890239496	
H3F3A	-0.090147875	2.6995625	0.006943072091202041	0.03135767427562601	
IGHG2	0.65449893	2.692861	0.007084177524531298	0.03194610696038639	
CXXC5	0.44152248	2.6739655	0.007496017902875491	0.03365484118927833	
ALOX5	0.6125443	2.6185129	0.008831396178142586	0.03907602447458828	
MZB1	0.6949577	2.6036654	0.009223278970398834	0.04068130297946077	
PLCG2	0.601287	2.55994	0.010469021220731416	0.045773336901763495	
RPL37A	-0.013771657	2.5445535	0.010941757980890617	0.047644329189726685	
SCIMP	0.77120453	2.5390284	0.011116080393371443	0.04835585937404576	
SAT1	0.039056826	2.4860609	0.01291659041408275	0.0554083370910112	
CD24	0.62057143	2.4678586	0.013592404383213172	0.058017105524558035	
TNFRSF13C	0.48948717	2.4577644	0.013980487310537259	0.05953971674840086	
BCL11A	0.6461945	2.4289148	0.01514408909027617	0.0639928050763832	
RPL29	-0.0125353085	2.4016705	0.01632040076647496	0.06852763538264423	
NCF4	0.5867079	2.4012797	0.016337841523765183	0.06859003156849705	
FCGR2B	0.6940989	2.3880794	0.01693668135329382	0.07081328514852862	
RNASET2	0.07193763	2.375334	0.017533076529560664	0.0731228057554045	
FCRL2	0.8679751	2.3592138	0.018313697953501292	0.07611568067335588	
IGHD	0.48608646	2.3566587	0.018440182798918053	0.07655757866486143	
FCRL1	0.646054	2.3527489	0.018635209546096865	0.07728276400775606	
IGLC3	0.7218749	2.3435125	0.01910311901309012	0.0791359594810747	
HLA-DOA	0.69378394	2.3388371	0.019343858659495363	0.0800841774627301	
PLEKHG1	0.65199375	2.3314745	0.01972835006413752	0.08151093056967373	
CDCA7L	0.70627356	2.3309536	0.019755810708859626	0.08161170233614859	
HHEX	0.68540454	2.3148875	0.02061909033620456	0.08487452408951231	
CHCHD10	0.27555487	2.2905428	0.021989861872897913	0.08995975661378385	
TSPAN3	0.37855092	2.2565973	0.02403325134696017	0.09761304821987384	
SNX22	0.81516796	2.2176356	0.026579689641335922	0.10712078407537035	
RACK1	-0.040807366	2.2116737	0.026989219231419403	0.10860657955365577	
COBLL1	0.61052626	2.183728	0.028982242665108383	0.11601190177649333	
SMARCB1	0.28217962	2.1640687	0.030459071094827993	0.12141146530135473	
CIITA	0.66672903	2.1159608	0.034348136423734285	0.13542349460011	
PLPP5	0.5667364	2.091993	0.03643913527437496	0.1427436663902155	
RPS9	-0.03129643	2.071474	0.03831450655176261	0.14945131635446118	
LINC02397	0.73979396	2.0369294	0.04165712882797304	0.16096352625397156	
SNX3	0.21940063	2.0368893	0.041661146024512416	0.16096352625397156	
BCL7A	0.6689672	2.0223	0.04314535643993367	0.16607681807632105	
RPLP1	-0.008344428	2.0063944	0.04481418480353163	0.17187824212021172	
ORAI2	0.45766503	1.9805048	0.047646836155619765	0.18169372427262806	
MT-ND2	-0.019688755	1.9677994	0.049091117136048384	0.18645224383524292	
TSPAN13	0.76194274	1.964573	0.04946367716943525	0.18767174947087567	
CNPY3	0.18510002	1.9644688	0.049475749597141565	0.18767174947087567	
ACP5	0.48710766	1.8545376	0.06366228194977629	0.2351417165012651	
EAF2	0.60359365	1.8488142	0.06448464373207237	0.2378816579812285	
STX7	0.60959107	1.8473233	0.0647003060599809	0.23844556777152418	
PHACTR1	0.58931124	1.8283193	0.06750163683363553	0.24791018452413963	
GAPT	0.65306306	1.8061352	0.0708972358433352	0.25901281885566657	
CLEC17A	0.94471943	1.7999648	0.07186619335724113	0.26187709805896797	
TSC22D3	-0.06891284	1.7933997	0.07290903070212823	0.26527708788937254	
UQCRH	-0.12091548	1.769426	0.07682282146625193	0.27746620080873896	
CYBB	0.6266895	1.7653058	0.07751239945391632	0.2796485268805125	
LIMD2	-0.110213526	1.7651875	0.07753226210852542	0.2796485268805125	
NRROS	0.49992827	1.7224282	0.0849919743591018	0.3036292589369041	
CD180	0.948538	1.6953562	0.09000786035504049	0.31910349744919586	
CD72	0.6501754	1.6327615	0.10251917876370847	0.35792161465396133	
FGD2	0.6854755	1.6296152	0.10318285576040656	0.35971893012275	
C16orf74	0.78983223	1.6106614	0.10725354728756938	0.3720073121957858	
RPS29	-0.019914286	1.593417	0.11106667472277008	0.3833819672021437	
SHMT2	0.4338803	1.5863329	0.11266381864010067	0.38813890286911673	
SP100	-0.0075779418	1.5830243	0.11341593096750434	0.3903252659828173	
COL19A1	0.7815933	1.5779521	0.11457659957448488	0.39383990171161265	
PPP1R14A	0.73271614	1.5579463	0.11924598393446614	0.4081173071071562	
WDFY4	0.5860993	1.5419023	0.12309733998047867	0.4195696588024035	
LAMTOR5	0.06025541	1.5067161	0.13188343461856555	0.44563053759558274	
IGLC2	0.59535885	1.50463	0.13241923585968324	0.4470999580684097	
ERP29	-0.10611006	1.4852974	0.1374650530975322	0.4621406079280683	
MANBA	0.36574042	1.453969	0.1459549110815376	0.4868644053258268	
LY9	0.3140037	1.4492776	0.14726007124834797	0.49084843663278666	
FCRL5	0.74405164	1.4276304	0.1533982545850265	0.507742491732929	
RHOA	-0.14374559	1.4245644	0.15428317541092795	0.510226766112611	
TMEM154	0.49885517	1.3799133	0.16761333813810253	0.5490503961514207	
COPDA1	0.9840625	1.3756508	0.16892976765416257	0.552953730847289	
GUCD1	0.48411733	1.324138	0.18545718296439373	0.5988660510278971	
PIP5K1B	0.7772084	1.3212043	0.18643326836778318	0.6013003728251634	
ZFP36L1	-0.0524254	1.3128315	0.1892397128437583	0.6088611944890754	
MPEG1	0.9188963	1.3048075	0.19195838368311913	0.6163399226762049	
YWHAZ	-0.15318665	1.3022124	0.19284379180171451	0.6187343242754431	
CNFN	0.838846	1.2995291	0.1937624350895759	0.6213067634510603	
SEMA4B	0.68885833	1.282968	0.19950328130753803	0.6365663522056486	
CTSS	0.14293481	1.2682467	0.20470987693613463	0.6506019154711853	
RPL18	-0.012877987	1.256878	0.2087978166373965	0.6620898554527991	
USP6NL	0.783819	1.2127901	0.22521008349331606	0.706046096858793	
HDAC9	0.6925799	1.2125596	0.2252982294123016	0.7062391366375238	
MTSS1	0.40531567	1.1763134	0.23946967648304018	0.743645815076846	
PTPRCAP	0.04612002	1.1683395	0.24266986127377566	0.7521775210257355	
PALM2-AKAP2	0.39521152	1.1682233	0.2427167301576426	0.7522350712290092	
CDK14	0.82212996	1.1541992	0.24841847992995314	0.7670566844326899	
ENTPD1	0.8850369	1.1448326	0.25227850860607437	0.7769768806768077	
NAPSA	0.67945856	1.1428486	0.2531014384529896	0.7791502354229802	
ISG20	-0.011473654	1.103935	0.26962131046189164	0.8216309115760856	
SMC6	0.52182966	1.0724303	0.283526830963338	0.856250385203336	
STAP1	0.544854	1.071338	0.28401745083214447	0.8575371834224205	
ADAM19	0.6139909	1.053781	0.2919831677413123	0.877997580653506	
IGHV5-78	0.70606285	1.0424986	0.2971805915434713	0.8909049111926375	
RPL13A	-0.03136394	1.0305147	0.3027684699234239	0.9040875364672152	
COCH	0.84609616	1.0002583	0.3171855011895338	0.9395378843326222	
SP140	0.32520345	0.99563515	0.3194274618540599	0.9452307402158827	
AIM2	0.62523055	0.9912504	0.3215633344379982	0.9499848708777936	
EBF1	0.5258294	0.9903205	0.32201747569485606	0.9512005430644119	
LCN10	1.0415156	0.98906004	0.3226337791622841	0.9528092462615942	
AL161781.2	0.8054614	0.9815711	0.3263111989526123	0.961106533351228	
DOK3	0.70344776	0.9252087	0.354857355360803	1.0	
CD1C	0.5940548	0.92352134	0.3557355834069642	1.0	
SIGLEC10	0.6630779	0.9227498	0.3561376048118732	1.0	
AC007569.1	0.82978827	0.9181126	0.3585599407981205	1.0	
RPL7A	-0.03399548	0.90663767	0.36459842943265297	1.0	
NCOA3	0.2930229	0.8904574	0.3732203228828541	1.0	
KLHL14	0.86964554	0.8810006	0.37831751505163924	1.0	
TMEM156	0.4144702	0.8767601	0.38061695057222444	1.0	
KHDRBS2	0.7460299	0.8758924	0.3810885431943152	1.0	
IGHV4-31	0.97390735	0.85225326	0.39407354942143646	1.0	
AC104971.3	0.8283952	0.8470268	0.39698016937540226	1.0	
SSPN	0.9231312	0.83399487	0.4042838903933623	1.0	
MEF2A	0.43461442	0.83380246	0.404392309719393	1.0	
CLECL1	0.5679	0.8127204	0.41637836824872865	1.0	
UBE2E2	0.574292	0.78528374	0.4322872384964367	1.0	
COL9A3	0.89850175	0.7713299	0.44051141457251475	1.0	
LINC01480	0.8925274	0.7615103	0.44635231694743127	1.0	
JUP	0.6358282	0.74105155	0.4586621972886761	1.0	
CD70	0.6093609	0.7366848	0.46131403864604725	1.0	
IGHG1	0.50982076	0.7288993	0.46606326322406066	1.0	
PCDH9	0.8385535	0.7143703	0.47499821272002385	1.0	
SIPA1L3	0.62583715	0.7140778	0.4751791047396354	1.0	
SLC2A6	0.63438207	0.70084333	0.48340077438810203	1.0	
FAM49A	0.49786502	0.6867052	0.4922685372015555	1.0	
AL592429.2	0.98466724	0.67481345	0.49979428651785895	1.0	
AP001636.3	1.1953483	0.67077744	0.5023623374472608	1.0	
AC009522.1	0.9161122	0.6686231	0.5037359208907273	1.0	
TUBB6	0.6793522	0.66462916	0.5062877160977124	1.0	
IGKV3-11	0.5662097	0.6564368	0.5115431050002658	1.0	
METTL7A	0.59513074	0.6485351	0.5166389375214735	1.0	
RPL26	-0.040333025	0.6400702	0.5221269683491316	1.0	
FCHSD2	0.49749076	0.63979566	0.5223054660108437	1.0	
HCK	0.6221204	0.62871355	0.529536607873032	1.0	
PLD4	0.49024537	0.62504023	0.5319446594817296	1.0	
NIPAL2	1.033176	0.6227496	0.5334490463968191	1.0	
EEF1B2	-0.06814189	0.61481184	0.5386789965182865	1.0	
AC104699.1	0.9706779	0.61025673	0.5416917442312634	1.0	
TBC1D9	0.61647385	0.6041365	0.5457528649894885	1.0	
IL6	0.756396	0.58658355	0.5574834356362877	1.0	
LARGE2	0.884554	0.5849042	0.5586121355463455	1.0	
AC120193.1	0.7447595	0.58231103	0.5603571986792572	1.0	
AL450344.3	0.56377083	0.5662811	0.5712027288516803	1.0	
AC021678.2	1.0212892	0.5493253	0.5827822553245781	1.0	
AC012236.1	0.78717434	0.547712	0.5838896412469428	1.0	
SCARB1	1.0234904	0.54600066	0.5850655033089962	1.0	
TLE1	0.39574495	0.54451966	0.5860839105776227	1.0	
CNTNAP2	0.85045785	0.53055984	0.5957238280402276	1.0	
ATP5F1E	-0.13010797	0.52651376	0.5985312817327566	1.0	
IGKV4-1	0.553432	0.5121752	0.60852840578503	1.0	
KLK1	0.5948099	0.50742775	0.61185473751341	1.0	
LTB	-0.12355654	0.5026963	0.6151778186109815	1.0	
SLC9A7	0.6988304	0.5019448	0.6157063566042581	1.0	
STEAP1B	1.0476363	0.49814922	0.6183788681542388	1.0	
ST6GAL1	0.45841673	0.4967825	0.6193424381221773	1.0	
IGKV1-16	0.92440724	0.49325347	0.6218335064934098	1.0	
ZDHHC21	0.6466126	0.49124947	0.623250016021837	1.0	
IGHV4-39	0.5024863	0.4795802	0.6315259279801342	1.0	
DERL3	0.68257606	0.47905716	0.6318979670393254	1.0	
HMGN1	-0.13855048	0.47781268	0.632783538091283	1.0	
RAB30	0.37333247	0.47145802	0.6373137013781881	1.0	
BACH2	0.26141748	0.46607727	0.6411601869066562	1.0	
WNT16	1.2895828	0.46536785	0.6416680438428981	1.0	
FAM111B	0.8767421	0.46480274	0.6420727278521041	1.0	
ARL11	0.96496046	0.4641394	0.6425478649155829	1.0	
GNB4	0.7662399	0.45979074	0.6456664279403803	1.0	
CD200	0.7299579	0.45527375	0.6489123177237398	1.0	
IGKV1-39	0.92421293	0.44915354	0.6533209038198562	1.0	
AL139020.1	0.8245549	0.44499525	0.6563231912307335	1.0	
AP001059.3	1.248763	0.43957844	0.66024245610365	1.0	
IGLV1-40	0.40635628	0.43135205	0.6662124154342799	1.0	
AK8	0.8693703	0.42954645	0.667525604052172	1.0	
CLIC4	0.5399816	0.42954445	0.6675270620979102	1.0	
GPR18	0.6136012	0.4290655	0.6678755710145856	1.0	
ARHGAP6	1.5027989	0.4242218	0.6714040452317043	1.0	
MACROD2	0.723668	0.422799	0.6724419258174636	1.0	
RIPOR1	0.5230379	0.42203346	0.6730005933268954	1.0	
SLC7A7	0.73928213	0.42123187	0.6735857789608473	1.0	
GABARAP	-0.1633025	0.42000142	0.6744844233059506	1.0	
BAIAP3	0.66498053	0.41488922	0.6782230034206986	1.0	
PRICKLE1	1.1075563	0.41138622	0.6807893468846422	1.0	
COL4A3	0.7219083	0.40914378	0.6824341623797435	1.0	
PARP15	0.40151432	0.40643635	0.6844220052829103	1.0	
MILR1	0.7226465	0.4032921	0.6867333564010396	1.0	
MOB3B	0.6417825	0.4000837	0.6890948708697114	1.0	
NCF2	0.66210514	0.3999795	0.6891716231215594	1.0	
ITPKB-IT1	1.0012417	0.39812177	0.6905404158151476	1.0	
ZNF296	0.5091162	0.3978673	0.6907280208559632	1.0	
TLR10	0.5446672	0.3912641	0.6956020222236643	1.0	
ZBTB32	0.5945908	0.38477919	0.7004010231551682	1.0	
FGD4	2.2652109	0.38039044	0.7036556152034792	1.0	
FAM177B	0.817141	0.3797612	0.7041227023309693	1.0	
C12orf74	0.9068713	0.3768634	0.7062751214381242	1.0	
GATM	0.8899478	0.37499768	0.7076621914732669	1.0	
AC246787.2	0.83349687	0.36752278	0.7132291050989645	1.0	
BACE2	0.5637867	0.36552078	0.7147226940161711	1.0	
LINC02245	0.55126697	0.36489555	0.7151893845263388	1.0	
ABCB4	0.703985	0.362613	0.716894006824286	1.0	
ADPRH	0.7794738	0.3612603	0.7179048753888477	1.0	
HLA-DQB2	0.8292262	0.3602743	0.7186419976745633	1.0	
IGHV4-61	0.7650961	0.3563545	0.7215750922912102	1.0	
IGLV2-8	0.44889554	0.3516331	0.7251134415000882	1.0	
AC010247.1	0.7794559	0.35142067	0.7252727759040725	1.0	
TLR9	0.9219545	0.3482784	0.7276311085341542	1.0	
AL512625.3	0.7768391	0.33595183	0.7369071913658849	1.0	
LAMA5	1.0737903	0.33525646	0.737431647263536	1.0	
IGHV3-33	0.64998394	0.334533	0.7379773925439159	1.0	
LY86-AS1	0.71493894	0.33295384	0.7391691177700168	1.0	
SLC38A11	1.0150087	0.33199394	0.7398938358786868	1.0	
IGHV3-74	0.65325147	0.32953703	0.7417498019525625	1.0	
AC083949.1	0.7680002	0.32255712	0.747030669927913	1.0	
IGLV3-25	0.6506864	0.32084572	0.7483273167317804	1.0	
IGLC7	1.1479206	0.31925654	0.7495319836741048	1.0	
IGHV4-55	1.0745656	0.3178337	0.750611081950608	1.0	
CR2	0.6900094	0.31722048	0.7510763087401136	1.0	
ATP2B1	0.25234106	0.31303814	0.7542516825966958	1.0	
AMZ1	2.1624262	0.3092526	0.7571293872313505	1.0	
LINC01685	1.9005628	0.29740298	0.7661588762479103	1.0	
LHFPL2	0.79118407	0.29554528	0.7675773781980024	1.0	
IGLC1	0.4761954	0.29108238	0.7709883245593115	1.0	
RNASE6	0.5937438	0.28755733	0.7736856039944748	1.0	
GBGT1	1.0695796	0.2852287	0.7754689361585021	1.0	
CSF2RB	1.2615265	0.28033093	0.779223621768725	1.0	
IGHA2	0.61214495	0.27948925	0.7798693840821095	1.0	
CELSR1	0.79380435	0.27192217	0.7856818672241173	1.0	
LINC02202	0.6929613	0.26255548	0.7928932101442713	1.0	
MARC2	0.8802944	0.25833508	0.7961483182755937	1.0	
IGLV1-44	0.4323116	0.2560385	0.7979211117517435	1.0	
CHAD	0.77856094	0.25381607	0.799637661305614	1.0	
CIAO2A	0.25713384	0.2534353	0.7999318474520833	1.0	
SPINT2	0.2124374	0.2517199	0.8012575849507066	1.0	
ROR1	1.0110301	0.25171188	0.801263781332658	1.0	
IFT57	0.29605326	0.24830307	0.8038999210994535	1.0	
TNFRSF17	0.803754	0.24502052	0.806440536124906	1.0	
SH3RF1	1.2504852	0.24459368	0.8067710598842172	1.0	
ZDHHC23	1.4135826	0.24184018	0.8089039977400347	1.0	
AC079630.1	0.98909014	0.24062978	0.8098420715442334	1.0	
CLNK	1.4989022	0.24052958	0.8099197389251472	1.0	
SCN3A	0.7787217	0.24001455	0.8103189787850149	1.0	
IGLV7-46	1.217098	0.23965383	0.8105986314281798	1.0	
TCL6	0.79575413	0.23897046	0.8111284840803152	1.0	
AL079338.1	0.7952899	0.23575205	0.8136250787494677	1.0	
KYNU	0.51479447	0.23341739	0.815437307646725	1.0	
TFEB	0.48517206	0.23338532	0.8154622035252901	1.0	
CCND1	0.861615	0.23120098	0.8171586726400657	1.0	
IL10RB-DT	1.9249907	0.23025107	0.8178966710589207	1.0	
CLEC20A	0.9596785	0.23008676	0.8180243580678888	1.0	
IGLV4-60	2.0161018	0.23005068	0.8180523875698371	1.0	
IGHV3-30	0.44782892	0.22732124	0.8201739587254145	1.0	
SYNPO	0.8898211	0.22730722	0.8201848659558991	1.0	
VAV3-AS1	0.87402767	0.22707474	0.8203656194088573	1.0	
AC019197.1	0.9491257	0.22618097	0.8210606740575552	1.0	
IGKV2D-40	22.68452	0.22457176	0.8223124380198258	1.0	
UVRAG	0.24723138	0.22345753	0.8231794290320305	1.0	
