gene	logfoldchanges	scores	pvals	pvals_adj	pct_in_group
SERF2	33.788654	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS21	33.007423	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL23	33.745	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL7A	34.790993	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS17	34.760323	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL29	34.87926	25.953209	1.672817240384378e-148	1.9980309355352e-146	
UQCRH	34.32801	25.953209	1.672817240384378e-148	1.9980309355352e-146	
UQCRB	32.72104	25.953209	1.672817240384378e-148	1.9980309355352e-146	
CFL1	34.31018	25.953209	1.672817240384378e-148	1.9980309355352e-146	
MALAT1	36.949112	25.953209	1.672817240384378e-148	1.9980309355352e-146	
CD74	35.707233	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS4X	35.211082	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS3A	34.397682	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS3	35.62935	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS29	33.76266	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS28	33.854336	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS27A	35.337025	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS27	35.707565	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS5	34.90292	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL28	35.762573	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL27A	35.08933	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL27	34.072235	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL26	34.550457	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ALDOA	32.989567	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL24	34.1969	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL23A	35.05505	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ARHGDIB	33.024815	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ATP5G3	32.74958	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ATP5G2	32.93228	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS25	34.045166	25.953209	1.672817240384378e-148	1.9980309355352e-146	
TMSB4X	38.03632	25.953209	1.672817240384378e-148	1.9980309355352e-146	
TMSB10	35.292263	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS15	35.173443	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS14	35.728363	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS13	34.901577	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS12	35.280983	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS11	34.148834	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL6	34.44122	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL5	34.10777	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL41	32.43639	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL4	34.134758	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPLP2	35.219307	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPLP1	36.419724	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPLP0	34.313126	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL9	34.304005	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL8	35.06353	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS2	36.26512	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS19	36.387184	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS18	36.40139	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS16	34.98555	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS15A	35.15208	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ATP5L	33.408535	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL38	33.279633	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL37A	34.544353	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL37	34.56411	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL36AL	33.096478	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL36	34.695404	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL35A	34.644268	25.953209	1.672817240384378e-148	1.9980309355352e-146	
PFN1	34.434578	25.953209	1.672817240384378e-148	1.9980309355352e-146	
HLA-C	33.96154	25.953209	1.672817240384378e-148	1.9980309355352e-146	
HLA-A	34.861965	25.953209	1.672817240384378e-148	1.9980309355352e-146	
HINT1	32.79804	25.953209	1.672817240384378e-148	1.9980309355352e-146	
MT-ND4	35.333157	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ARPC2	33.5922	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ARPC1B	33.33051	25.953209	1.672817240384378e-148	1.9980309355352e-146	
H3F3B	33.191856	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ARPC3	33.23051	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
PFDN5	32.95765	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
ATP5B	32.06106	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
PSMB1	31.94112	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
HNRNPA1	32.257515	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
PSME1	32.58838	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
ISG15	34.98995	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
OST4	32.612343	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
CHCHD2	33.093273	25.860186	1.8689999486685677e-147	1.816463128193665e-145	
MT-CO3	35.126568	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
CAPZB	32.000748	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
MT-ND1	33.68973	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
RPS26	32.170757	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
UBB	32.706436	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
SEC61B	32.508633	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
PABPC1	32.901573	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
MT-ATP6	33.327156	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
MT-CO1	36.110138	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
COMMD6	31.956589	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
EIF3F	32.120884	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
LDHB	32.59484	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
DBI	32.90209	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
ATPIF1	32.644985	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
NDUFA4	32.768333	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
GUK1	31.788185	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
HSP90AA1	32.48672	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
MT-CYB	34.16746	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
HLA-E	32.670387	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
TPI1	32.6471	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
MT-ND3	33.232273	25.767164	2.0702254445626666e-146	1.769618733022073e-144	
RPS10	32.23535	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
SNRPD2	31.999685	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
MYL12A	33.138336	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
COPE	31.93484	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
EDF1	32.291206	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
MT-ND2	33.70139	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
SLC25A3	32.28004	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
COX7A2	32.52323	25.67414	2.2733881586103584e-145	1.7842073349235364e-143	
COX5B	32.237606	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
PSME2	32.86031	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
COX6A1	31.732197	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
EEF1B2	33.147316	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
CALM2	32.25417	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
YBX1	32.33914	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
SH3BGRL3	32.491867	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
POMP	32.028366	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
CD53	32.300415	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
HSP90AB1	32.56258	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
UBL5	32.154137	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
CD79A	33.07694	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
TOMM7	32.09014	25.58112	2.475011289459681e-144	1.7845233837864376e-142	
HNRNPA2B1	32.3929	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
SKP1	31.47447	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
ANXA6	31.76482	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
LSP1	32.479843	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
CD48	32.33848	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
HMGN1	32.03819	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
ISG20	32.524338	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
EIF3L	31.868942	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
COX8A	32.36809	25.488098	2.671335618962789e-143	1.8223646105208845e-141	
MYL12B	31.848001	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
EIF3E	32.044556	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
NEDD8	31.67833	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
TRAPPC1	31.726137	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
HLA-DRA	34.118908	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
C12orf75	32.20062	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
TMA7	32.60357	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
PSMB8	31.809757	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
DYNLL1	32.255447	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
PSMA7	32.097134	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
CORO1A	32.90367	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
EIF3K	32.161507	25.395075	2.8584292474803203e-142	1.8503634876846147e-140	
ATP5O	32.04223	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
SEPT7	31.405678	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
PDLIM1	32.65179	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
PRDX5	31.997839	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
SOD1	31.72301	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
PRDX1	32.2087	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
SSR2	31.725477	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
PPP1CA	31.696291	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
CD52	32.769196	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
SEC61G	31.651157	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
PPIA	32.085907	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
RPS27L	32.216164	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
GPX1	32.69941	25.302053	3.03231421487672e-141	1.8642688814304464e-139	
SSR4	32.349083	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
CD27	32.178486	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
PRR13	31.28236	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
ATP6V0E1	31.904667	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
ARPC5	32.22701	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
HLA-DPA1	33.094738	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
UQCR10	31.714258	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
EEF1A1	32.30761	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
POLR2L	31.459637	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
COX7A2L	31.302181	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
MX1	32.17366	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
ERP29	31.977852	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
NAP1L1	31.91643	25.20903	3.189104583842811e-140	1.8668365677762356e-138	
SLC25A5	32.207535	25.116009	3.3251494486203535e-139	1.8663979674107347e-137	
RPL39	31.809921	25.116009	3.3251494486203535e-139	1.8663979674107347e-137	
PGK1	32.008118	25.116009	3.3251494486203535e-139	1.8663979674107347e-137	
SMDT1	31.65585	25.116009	3.3251494486203535e-139	1.8663979674107347e-137	
IFI6	32.441505	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
C14orf2	31.860237	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
C19orf53	31.622509	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
GNG5	31.659876	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
RBX1	31.656628	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
YWHAB	31.677248	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
HLA-DRB1	32.78732	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
MT-ND5	31.80881	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
SPCS1	31.950806	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
AURKAIP1	31.311321	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
CD70	31.56219	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
UQCRQ	31.492584	25.022985	3.4371736028544687e-138	1.8558644807862926e-136	
DDX5	31.639753	24.929964	3.5224083378483627e-137	1.8566703324938013e-135	
SUMO2	31.634167	24.929964	3.5224083378483627e-137	1.8566703324938013e-135	
ATP5J2	31.87003	24.929964	3.5224083378483627e-137	1.8566703324938013e-135	
C11orf31	31.675951	24.929964	3.5224083378483627e-137	1.8566703324938013e-135	
HLA-DMA	31.796362	24.929964	3.5224083378483627e-137	1.8566703324938013e-135	
RNASET2	32.176086	24.929964	3.5224083378483627e-137	1.8566703324938013e-135	
PTPN6	31.885908	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
DAD1	31.482605	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
RPL22	31.888279	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
RAC2	31.589777	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
UBE2L6	31.39768	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
NDUFB4	31.405252	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
TMEM258	31.693747	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
NDUFS5	31.432858	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
ATP5J	32.084217	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
MTDH	32.229725	24.83694	3.578705093710864e-136	1.8084185825398746e-134	
NDUFB11	31.520985	24.74392	3.60462545508062e-135	1.749254218789739e-133	
PSMA4	31.443775	24.74392	3.60462545508062e-135	1.749254218789739e-133	
SNU13	31.71613	24.74392	3.60462545508062e-135	1.749254218789739e-133	
SERP1	31.651848	24.74392	3.60462545508062e-135	1.749254218789739e-133	
GMFG	31.50247	24.74392	3.60462545508062e-135	1.749254218789739e-133	
GLTSCR2	31.63659	24.74392	3.60462545508062e-135	1.749254218789739e-133	
BSG	31.524	24.74392	3.60462545508062e-135	1.749254218789739e-133	
TXN	32.126694	24.74392	3.60462545508062e-135	1.749254218789739e-133	
BRK1	31.557821	24.74392	3.60462545508062e-135	1.749254218789739e-133	
C14orf166	31.474606	24.74392	3.60462545508062e-135	1.749254218789739e-133	
PARP1	31.393572	24.74392	3.60462545508062e-135	1.749254218789739e-133	
HSP90B1	32.00822	24.74392	3.60462545508062e-135	1.749254218789739e-133	
HIGD2A	31.592241	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
LAMTOR5	31.185755	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
LIMD2	31.919281	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
TMBIM6	31.698065	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
ERH	31.340717	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
PDIA6	31.698961	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
ECH1	31.187773	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
HN1	31.61531	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
RHOA	31.461521	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
CUTA	31.28179	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
RPS4Y1	31.75865	24.650898	3.599502229814373e-134	1.6934846432418444e-132	
CD99	31.73621	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
C19orf43	31.474854	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
ATP5H	31.436953	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
WDR83OS	31.141283	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
GPSM3	31.560797	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
ZFAS1	31.463991	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
LDHA	32.220097	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
GSTP1	32.70203	24.557875	3.5634679900343666e-133	1.6206469676728092e-131	
IGHM	31.602737	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
PSMB6	31.3779	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
SEC11A	30.973726	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
ARF1	31.038046	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
NDUFA1	31.664476	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
PPA1	31.523079	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
SERBP1	31.396925	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
CSTB	31.484232	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
TMED9	31.248976	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
LAMTOR4	31.307657	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
CALM1	31.294657	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
CALM3	31.69375	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
RPL36A	31.42887	24.464853	3.4974493711005506e-132	1.5431407834629468e-130	
CLTA	31.24699	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
APRT	31.42896	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
USMG5	31.496723	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
TMEM59	31.072306	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
UQCR11	31.48963	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
MZT2B	31.21353	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
ACTR3	31.3514	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
JTB	31.241926	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
COX7B	31.880766	24.37183	3.403127470751926e-131	1.4580017378919544e-129	
HNRNPC	31.361479	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
NDUFV2	31.371992	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
NDUFB2	31.438967	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
TRMT112	31.288609	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
PPIB	32.213497	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
IFI44L	31.65807	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
CCNI	31.124052	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
PSMB3	31.591242	24.278809	3.2828667109769234e-130	1.3668593157886782e-128	
ATP5C1	31.273907	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
LGALS1	33.3201	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
SEC62	31.482527	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
DRAP1	31.27548	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
CD63	31.840097	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
SNRPE	31.18714	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
NDUFA12	30.998455	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
SF3B5	31.139977	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
HLA-DPB1	32.438667	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
PSMB2	31.253649	24.185785	3.13961636481211e-129	1.2772333821713853e-127	
ARPC4	31.422613	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
MS4A1	32.542866	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
SRSF5	31.007088	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
PEBP1	31.330679	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
H2AFZ	31.716883	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
SRGN	31.56402	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
GLRX	31.688044	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
EIF3G	31.093294	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
TNFRSF13B	31.481533	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
NDUFB10	30.844885	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
SNRPG	31.34436	24.092764	2.976790471655794e-128	1.1838415380214983e-126	
UBE2D2	31.487787	23.99974	2.798132959730295e-127	1.090779874873324e-125	
