rank	score	pert_desc	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	sig_id	pubchem_id	drugchem_id
37	0.0519	NVP-AUY922	BRD-K65182930	SKBR3	0.04	um	24	h	LJP005_SKBR3_24H:BRD-K65182930:0.04		
38	0.0444	ICI-162,846	BRD-K66782112	HA1E	10.0	um	24.0	h	CPC001_HA1E_24H:BRD-K66782112:10.0	134778	
39	0.0444	-666	BRD-K80348542	HA1E	10.0	um	24.0	h	CPC002_HA1E_24H:BRD-K80348542:10.0	442195	
40	0.0444	PUROMYCIN HYDROCHLORIDE	BRD-A28970875	HCC515	10.0	um	24.0	h	CPC002_HCC515_24H:BRD-A28970875:10.0	5702164	
41	0.0444	Cefixime	BRD-K71059170	HA1E	10.0	um	6.0	h	CPC003_HA1E_6H:BRD-K71059170:10.0	5362065	
42	0.0444	AM580	BRD-K06854232	VCAP	10.0	um	24.0	h	CPC003_VCAP_24H:BRD-K06854232:10.0	2126	
43	0.0444	PREDNISOLONE ACETATE	BRD-A01643550	HA1E	10.0	um	24.0	h	CPC004_HA1E_24H:BRD-A01643550:10.0	5702107	
44	0.0444	vorinostat	BRD-K81418486	HA1E	10.0	um	24.0	h	CPC004_HA1E_24H:BRD-K81418486:10.0	5311	
45	0.0444	ROPINIROLE	BRD-K15933101	HEPG2	10.0	um	6.0	h	CPC004_HEPG2_6H:BRD-K15933101:10.0	5095	
46	0.0444	Cycloheximide	BRD-A62184259	PC3	10.0	um	24.0	h	CPC004_PC3_24H:BRD-A62184259:10.0	2900	
47	0.0444	manumycin A	BRD-K78599730	A375	10.0	um	24.0	h	CPC005_A375_24H:BRD-K78599730:10.0	44483259	
48	0.0444	Purvalanol A	BRD-K50836978	A549	10.0	um	24.0	h	CPC005_A549_24H:BRD-K50836978:10.0	456214	
49	0.0444	CT-200783	BRD-K02822062	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K02822062:10.0	73707405	
50	0.0444	-666	BRD-K19295594	A375	11.1	um	24.0	h	CPC006_A375_24H:BRD-K19295594:11.1	227456	
